date,day_of_week,month,is_weekend,is_holiday,weather_score,nearby_event,occupancy_rate,daily_revenue,review_score,negative_rate
2023-01-01,6,1,1,1,3,1,0.8262,48384,4.41,0.0634
2023-01-02,0,1,0,0,2,0,0.6234,20047,4.21,0.1032
2023-01-03,1,1,0,0,3,0,0.5746,16554,4.14,0.0686
2023-01-04,2,1,0,0,4,0,0.5535,16293,4.52,0.0745
2023-01-05,3,1,0,0,3,0,0.5444,17061,4.2,0.0839
2023-01-06,4,1,0,0,2,1,0.5866,20872,4.18,0.1243
2023-01-07,5,1,1,0,2,0,0.6386,23323,4.3,0.0651
2023-01-08,6,1,1,0,4,0,0.6743,26068,4.37,0.0685
2023-01-09,0,1,0,0,3,0,0.5646,18361,4.39,0.051
2023-01-10,1,1,0,0,2,0,0.5278,16869,4.36,0.1129
2023-01-11,2,1,0,0,4,0,0.5482,16891,4.38,0.0927
2023-01-12,3,1,0,0,3,0,0.5296,15732,4.43,0.0992
2023-01-13,4,1,0,0,5,0,0.5935,18038,4.4,0.0993
2023-01-14,5,1,1,0,4,0,0.5835,23144,4.36,0.0722
2023-01-15,6,1,1,0,3,0,0.627,24422,4.55,0.0671
2023-01-16,0,1,0,0,3,0,0.5488,16780,4.45,0.083
2023-01-17,1,1,0,0,4,0,0.5747,18626,4.27,0.0721
2023-01-18,2,1,0,0,3,0,0.5686,17925,4.35,0.0737
2023-01-19,3,1,0,0,3,0,0.5517,16661,4.32,0.084
2023-01-20,4,1,0,0,4,0,0.5792,18017,4.12,0.0764
2023-01-21,5,1,1,0,3,0,0.6334,26718,4.35,0.0792
2023-01-22,6,1,1,0,2,0,0.6536,25852,4.37,0.0802
2023-01-23,0,1,0,0,3,0,0.5877,19943,4.24,0.068
2023-01-24,1,1,0,0,1,0,0.4944,15467,4.1,0.1073
2023-01-25,2,1,0,0,4,0,0.5446,16771,4.44,0.0598
2023-01-26,3,1,0,0,4,0,0.5315,16705,4.37,0.0905
2023-01-27,4,1,0,0,3,0,0.5678,17924,4.38,0.0825
2023-01-28,5,1,1,0,4,0,0.6525,24339,4.6,0.081
2023-01-29,6,1,1,0,4,0,0.6335,25092,4.51,0.0623
2023-01-30,0,1,0,0,4,0,0.6056,20327,4.33,0.0645
2023-01-31,1,1,0,0,3,0,0.5639,17834,4.38,0.0899
2023-02-01,2,2,0,1,4,0,0.708,33912,4.47,0.0588
2023-02-02,3,2,0,1,3,0,0.6944,30578,4.37,0.0829
2023-02-03,4,2,0,1,1,1,0.761,36421,4.21,0.0668
2023-02-04,5,2,1,1,5,0,0.8345,39963,4.46,0.0724
2023-02-05,6,2,1,1,4,0,0.8266,39757,4.48,0.0753
2023-02-06,0,2,0,1,4,0,0.7195,29918,4.46,0.0789
2023-02-07,1,2,0,1,5,1,0.8258,45747,4.51,0.084
2023-02-08,2,2,0,0,4,0,0.646,20766,4.28,0.0706
2023-02-09,3,2,0,0,4,0,0.6848,19768,4.47,0.0484
2023-02-10,4,2,0,0,1,0,0.5759,18751,4.26,0.0808
2023-02-11,5,2,1,0,4,0,0.6681,25878,4.39,0.0635
2023-02-12,6,2,1,0,4,0,0.6496,25130,4.3,0.0868
2023-02-13,0,2,0,0,3,0,0.6251,20177,4.22,0.07
2023-02-14,1,2,0,0,2,0,0.6379,20224,4.12,0.1083
2023-02-15,2,2,0,0,5,0,0.6937,22538,4.21,0.065
2023-02-16,3,2,0,0,3,0,0.6302,20269,4.26,0.0739
2023-02-17,4,2,0,0,3,0,0.6032,17880,4.56,0.0544
2023-02-18,5,2,1,0,4,0,0.7265,26295,4.54,0.0711
2023-02-19,6,2,1,0,4,0,0.714,26757,4.41,0.0657
2023-02-20,0,2,0,0,5,0,0.6918,20514,4.65,0.043
